City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,punto fijo,11.6956,-70.1996,29.17,78,76,9.96,VE,1726372560
349,gardelegen,52.5252,11.3952,7.3,92,1,3.28,DE,1726372561
350,moravske budejovice,49.0521,15.8086,9.06,88,100,14.7,CZ,1726372562
351,kokstad,-30.5472,29.4241,12.09,91,89,1.12,ZA,1726372563
352,suhbaatar,50.2314,106.2078,19.84,31,85,6.8,MN,1726372564
353,los alamos,35.8881,-106.307,21.88,20,0,4.12,US,1726372565
354,fomboni,-12.28,43.7425,25.65,71,0,2.16,KM,1726372567
355,kukawa,12.9234,13.5606,26.33,72,25,3.35,NG,1726372568
356,el hadjira,32.6134,5.5126,25.09,57,0,5.84,DZ,1726372569
357,ankazoabo,-22.2833,44.5167,21.56,59,11,0.58,MG,1726372570
358,horta,38.5333,-28.6333,19.45,86,10,1.79,PT,1726372571
359,vanimo,-2.6741,141.3028,30.01,65,93,2.29,PG,1726372572
360,zilair,52.2332,57.4392,13.99,78,74,3.65,RU,1726372573
361,howrah,22.5892,88.3103,26.0,100,100,4.12,IN,1726372542
362,tibiri,13.5627,7.0485,27.39,55,97,2.91,NE,1726372575
